City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,swift current,50.2834,-107.8014,280.6,53,0,8.23,CA,1699932655
339,mount pearl,47.5166,-52.7813,272.22,83,75,2.57,CA,1699932655
340,kudahuvadhoo,2.6708,72.8944,300.72,74,64,1.52,MV,1699932655
341,kinmparana,12.8402,-4.9199,298.05,17,7,3.41,ML,1699932656
342,forster,-32.1667,152.5167,296.69,69,60,6.79,AU,1699932656
343,mizdah,31.4451,12.9801,286.95,85,0,1.16,LY,1699932656
344,villa gesell,-37.2639,-56.973,285.4,60,83,5.88,AR,1699932656
345,fisterra,42.9049,-9.2629,291.9,94,100,12.82,ES,1699932657
346,la passe,45.5549,-0.8967,288.28,90,100,3.98,FR,1699932657
347,madalena,41.2162,-8.3345,290.47,88,43,1.24,PT,1699932657
348,sretensk,52.2453,117.7093,268.1,61,37,1.47,RU,1699932657
349,nadi,-17.8,177.4167,305.15,58,75,6.17,FJ,1699932657
350,placido de castro,-10.3353,-67.1856,298.47,77,19,1.36,BR,1699932658
351,antsiranana,-12.2787,49.2917,299.83,73,76,4.0,MG,1699932658
352,bandarbeyla,9.4942,50.8122,300.33,79,89,7.4,SO,1699932658
353,timbuktu,16.7735,-3.0074,296.48,13,0,4.28,ML,1699932658
354,tobol'sk,58.2,68.2667,272.37,95,100,0.89,RU,1699932659
355,kindu,-2.95,25.95,294.18,100,100,0.56,CD,1699932659
356,nuuk,64.1835,-51.7216,270.49,86,75,7.2,GL,1699932658
357,enterprise,36.0252,-115.2419,290.31,28,75,2.24,US,1699932659
358,nizhneangarsk,55.7833,109.55,266.48,76,100,0.45,RU,1699932659
359,huangyan,28.6478,121.2594,288.14,52,11,1.13,CN,1699932660
360,east london,-33.0153,27.9116,287.67,94,75,1.54,ZA,1699932660
361,ndende,-2.4008,11.3581,296.32,99,96,1.0,GA,1699932660
